person_id,name,verified_batch,verified_commit,career_count,evidence_count,hold_issue_count,public_status
P000010,當山 修梧,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,2,25,3,候補データ・正式承認前
P000029,早田 流星,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,2,20,2,候補データ・正式承認前
P000030,鷹野 祐磨,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,1,12,2,候補データ・正式承認前
P000031,星賀 舞也,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,2,19,2,候補データ・正式承認前
P000032,岡本 汰稀,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,2,13,2,候補データ・正式承認前
P000033,岩下 周介,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,2,28,2,候補データ・正式承認前
P000034,カマレ ムレマ フランシス,Batch 003,0fd6dc53d71a34fc65766e6056023f912653b746,2,19,2,候補データ・正式承認前
P000064,河村 勇輝,Batch 004,f12fb3694e14a9203b5ac4e875175904c3b9a7c6,5,22,4,候補データ・正式承認前
