verified_batch,person_id,name,career_id,organization_id,role,start,end,organization_name,evidence_count,source_ids
Batch 006,P000075,井手 優希,C000267,ORG000010,Player,,,福岡第一高等学校,3,B6W1S0001
Batch 006,P000075,井手 優希,C000269,ORG000100,Player,2025,,山口パッツファイブ,4,B6W1S0002
Batch 006,P000076,クベマ スティーブ,C000270,ORG000010,,,,福岡第一高等学校,1,B6W1S0003
Batch 006,P000076,クベマ スティーブ,C000272,ORG000111,Player,2024,,東京八王子ビートレインズ,5,B6W1S0003|B6W1S0004
Batch 006,P000012,ジャン・ローレンス・ハーパージュニア,C000273,ORG000010,Player,,,福岡第一高等学校,3,B6W1S0005
Batch 006,P000012,ジャン・ローレンス・ハーパージュニア,C000274,ORG000015,Player,,,東海大学,2,B6W1S0006|B6W1S0007
Batch 006,P000012,ジャン・ローレンス・ハーパージュニア,C000275,ORG000114,Player,2023,,東京サンロッカーズ,6,B6W1S0007|B6W1S0006
Batch 006,P000078,長島 エマニエル,C000276,ORG000010,Player,,,福岡第一高等学校,3,B6W1S0009
Batch 006,P000078,長島 エマニエル,C000277,ORG000040,Player,2016,2018,ライジングゼファー福岡,4,B6W1S0008
